#,prjId,Period,Time,StartDate,EndDate,forks,members,commits,issues,watchers,pullReq,CmtCmnt,pullReqCmnt,PR Issue Cmnt,issueCmnt,committers,MemCommitters,PRClosedCnt,IssueClosedCnt,PRClosedTime,IssueClosedTime,Health,Licence,ContribFile,MemIssue,NonMemIssue,OwnerFollower,AvgFollower,OwnerType,MemCommit
476,77954,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,3,36,72,0,6,0,0,0,0,0,5,4,0,0,,,33,Other,,0,0,4,4,ORG,4
477,77954,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,3,38,137,0,6,0,0,0,0,0,7,6,0,0,,,33,Other,,0,0,4,4,ORG,6
478,77954,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,3,40,247,0,6,0,0,0,0,0,7,6,0,0,,,33,Other,,0,0,4,4,ORG,6
479,77954,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,4,40,293,0,6,0,0,0,0,0,7,6,0,0,,,33,Other,,0,0,4,4,ORG,6
480,77954,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,4,41,304,0,6,0,0,0,0,0,7,6,0,0,,,33,Other,,0,0,5,4,ORG,6
481,82252,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,3,11,10,0,271,0,0,0,0,0,4,0,0,0,,,33,,,0,0,34,10,ORG,0
482,82252,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,9,11,18,0,315,0,0,0,0,0,6,0,0,0,,,33,,,0,0,34,10,ORG,0
483,82252,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,16,11,55,0,356,0,0,0,0,0,10,1,0,0,,,33,,,0,0,34,10,ORG,1
484,82252,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,26,11,97,14,386,35,0,0,3,3,12,1,21,0,2714.199206,,33,,,0,0,35,10,ORG,1
485,82252,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,36,11,130,26,443,79,0,2,19,19,12,1,49,0,11689.07721,,33,,,0,0,35,10,ORG,1
486,82252,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,49,11,154,42,493,127,0,4,41,41,14,1,75,0,12519.032,,33,,,0,0,36,10,ORG,1
487,82252,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,63,11,160,44,541,131,0,4,43,43,15,1,77,0,12258.32684,,33,,,0,0,37,10,ORG,1
488,82252,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,75,11,171,46,572,137,0,4,44,44,15,1,81,0,13244.24033,,33,,,0,0,37,11,ORG,1
489,89238,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,4,9,9,12,8,33,0,0,0,0,1,1,21,0,2599.679365,,33,,,0,0,4,3,ORG,1
490,89238,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,4,9,9,12,8,33,0,0,0,0,1,1,21,0,2599.679365,,33,,,0,0,4,3,ORG,1
491,89238,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,4,9,18,15,8,42,0,0,0,0,3,3,27,0,2231.167901,,33,,,0,0,4,3,ORG,3
492,89238,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,5,9,87,29,8,84,0,0,0,0,6,5,55,0,1109.292121,,33,,,0,0,4,3,ORG,5
493,89238,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,5,9,99,29,9,84,0,0,0,0,6,5,55,0,1109.292121,,33,,,0,0,4,3,ORG,5
494,89238,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,5,9,121,37,9,100,0,0,0,0,7,6,65,0,1292.046923,,33,,,1,0,4,4,ORG,6
495,89238,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,5,9,128,38,9,100,0,0,0,0,7,6,65,0,1292.046923,,33,,,1,0,4,4,ORG,6
496,89238,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,5,9,128,38,9,100,0,0,0,0,7,6,65,0,1292.046923,,33,,,1,0,5,4,ORG,6
497,93643,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,8,0,0,13,0,0,0,0,0,0,0,0,0,,,33,,,0,0,0,0,ORG,0
498,93643,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,8,0,0,16,0,0,0,0,0,0,0,0,0,,,33,,,0,0,0,0,ORG,0
499,93643,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,8,0,0,16,0,0,0,0,0,0,0,0,0,,,33,,,0,0,0,0,ORG,0
500,93643,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,0,8,20,0,16,0,0,0,0,0,1,1,0,0,,,33,,,0,0,0,0,ORG,1
501,93643,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,0,8,155,0,18,0,0,0,0,0,3,3,0,0,,,33,,,0,0,0,0,ORG,3
502,93643,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,0,8,244,0,19,0,0,0,0,0,3,3,0,0,,,33,,,0,0,0,0,ORG,3
503,93643,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,0,8,260,0,19,0,0,0,0,0,3,3,0,0,,,33,,,0,0,0,0,ORG,3
504,93643,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,0,8,260,0,19,0,0,0,0,0,3,3,0,0,,,33,,,0,0,0,0,ORG,3
